id,run_length,disagreeable,training,improbability_rate,price,special_conditions,availability,start_time,end_time,workerid,phase,first_time,censored,other
91693,50,40,True,93,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 14:39:21,2014-11-24 00:21:39,ACVEFRSUAPSEQ,4,False,True,None
91694,0,40,False,56,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 20:02:19,2014-11-23 20:02:19,A1N1XX269GGJSR,4,False,False,None
91695,1,0,True,93,0.25,False,low,2014-11-22 16:10:09,2014-11-22 16:26:36,A1B8GYI6D690QX,3,True,False,None
91696,50,0,False,93,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 13:52:05,2014-11-24 00:23:48,A204HL5JV5SZ4Q,4,False,True,None
91697,2,0,True,93,0.25,False,low,2014-11-24 17:32:00,2014-11-24 21:25:21,A3OGB3SDYDZ3RC,5,False,False,None
91698,0,20,False,56,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 15:22:50,2014-11-21 15:22:50,AD9GVEG7LLC6S,2,False,False,None
91699,0,60,False,93,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 22:21:41,2014-11-24 22:21:41,A2OZHXBRLDKLSP,5,False,False,None
91700,1,80,True,56,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 14:30:55,2014-11-23 14:31:07,A17D21C8VCE555,4,True,False,None
91701,0,100,False,93,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-25 01:16:10,2014-11-25 01:16:10,A2HL2THWOYKV97,5,False,False,None
91702,0,40,False,93,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 14:25:24,2014-11-24 14:25:24,ALEJV7D94ZLHF,5,False,False,None
91703,10,40,False,56,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 10:01:09,2014-11-21 19:04:46,AHTHTM2RS97U2,2,False,False,None
91704,6,0,True,93,0.25,False,low,2014-11-20 22:46:05,2014-11-21 05:20:19,A1XCYK5V5N198O,1,False,False,None
91705,2,0,False,56,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 17:32:21,2014-11-21 17:36:30,A2VXO9BR09373K,2,True,False,None
91706,2,40,True,93,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 20:12:38,2014-11-22 21:09:19,A1CGUFW3R6M234,3,False,False,None
91707,1,60,False,93,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-25 05:30:27,2014-11-25 05:30:47,AWUBYXXU6OQZ6,5,True,False,None
91708,0,20,True,56,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 02:30:41,2014-11-22 02:30:41,A1ZHP80O13CEUI,2,False,False,None
91709,2,40,True,56,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 02:27:30,2014-11-21 02:52:33,A3US3R22I0W1QE,1,True,False,None
91710,0,80,False,56,0.3,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 11:46:48,2014-11-23 11:46:48,A2JN9T5FNBYDYY,4,False,False,None
91711,2,20,False,56,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 07:54:37,2014-11-21 08:02:46,A21QZP7ZQ9O3OR,1,True,False,None
91712,0,0,True,93,0.25,False,low,2014-11-23 23:17:55,2014-11-23 23:17:55,A3AO0GGTVS6K49,4,True,False,None
91713,49,20,True,93,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 08:07:15,2014-11-24 06:11:17,A14CX1IUDSVFLL,4,False,True,None
91714,1,100,True,93,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 23:24:00,2014-11-23 23:24:39,A10FQQO7H6E5K4,4,True,False,None
91715,10,40,False,56,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 08:59:19,2014-11-22 09:22:57,AXX4JAXTS8ZE1,3,False,False,None
91716,0,0,False,56,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 04:34:02,2014-11-24 04:34:02,AX87QB1T6FGXE,4,False,False,None
91717,50,60,True,93,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 08:03:41,2014-11-23 04:50:01,A3U68HIM9W5THL,3,False,True,None
91718,1,100,False,93,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 16:17:01,2014-11-22 16:20:32,A7G4JAR07S7DF,3,False,False,None
91719,1,100,False,56,0.4,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 16:43:50,2014-11-23 16:44:24,A291TJEUDN2ZXI,4,True,False,None
91720,0,60,True,56,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 17:03:48,2014-11-23 17:03:48,A3DFJV1RD653DQ,4,False,False,None
91721,8,60,True,93,0.4,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 07:34:03,2014-11-22 08:01:13,A1IZN1AIC06MIS,2,True,False,None
91722,1,100,False,56,0.15,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 16:44:04,2014-11-20 16:44:22,A22KZYJZ0OK7K8,1,True,False,None
91723,0,80,True,93,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 14:34:26,2014-11-23 14:34:26,AIC8CB12DQC0K,4,False,False,None
91724,44,40,False,56,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 12:23:55,2014-11-20 19:46:42,A32H5INU9CYMCI,1,False,False,None
91725,0,80,False,93,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 04:44:33,2014-11-23 04:44:33,A2MBD2MOD4S9E7,3,False,False,None
91726,1,40,True,56,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 00:32:33,2014-11-21 00:33:04,A282FL1T5NRQI,1,True,False,None
91727,1,100,False,56,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 19:46:45,2014-11-20 19:56:37,A3UB28KTPILU0M,1,False,False,None
91728,1,100,False,56,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-19 13:47:12,2014-11-19 13:47:34,AAS0V105QISPM,0,True,False,None
91729,0,60,True,93,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 16:51:48,2014-11-21 16:51:48,A3MHBPP7UHZVKN,2,False,False,None
91730,2,80,True,56,0.25,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 16:34:28,2014-11-22 16:57:16,ACQ5A1PMXIBPW,3,True,False,None
91731,1,80,True,56,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 19:21:37,2014-11-21 19:21:44,A14VQHALK69NXX,2,True,False,None
91732,4,0,False,93,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 23:32:11,2014-11-23 23:55:59,AEF74ZYJTTEIA,4,False,False,None
91733,8,100,False,93,0.3,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 21:48:24,2014-11-24 00:41:57,A14O6UK98VXX0S,4,True,False,None
91734,6,40,False,93,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 15:29:54,2014-11-24 06:54:13,AFS11BAQ7RHEN,4,False,False,None
91735,6,80,False,93,0.05,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-25 03:47:30,2014-11-25 03:58:00,A23PP8KERKRL8Z,5,False,False,None
91736,0,0,True,56,0.4,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 12:20:37,2014-11-20 12:20:37,A23XRFFCREHXT3,1,False,False,None
91737,3,20,True,56,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 15:42:10,2014-11-21 15:50:35,A1DSL2NUBKWU7B,2,False,False,None
91738,1,80,True,93,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 02:34:08,2014-11-21 02:34:30,A378EO50AA6SB0,1,True,False,None
91739,0,100,False,93,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 20:58:28,2014-11-23 20:58:28,A2W2ZEI7WUASOW,4,False,False,None
91740,1,60,True,56,0.5,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 10:09:14,2014-11-24 10:09:20,A31A20Z5P0UJBH,5,True,False,None
91741,1,100,True,93,0.1,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-21 19:34:35,2014-11-21 19:54:12,A3L94D1W9ZWG16,2,False,False,None
91742,2,40,False,93,0.4,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 02:38:35,2014-11-20 02:53:33,A25OPG66BUAJWN,0,True,False,None
91743,6,0,True,56,0.45,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 22:43:59,2014-11-24 01:26:05,A2NXDGNJXC6KFJ,4,True,False,None
91744,0,40,True,93,0.3,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-22 15:30:14,2014-11-22 15:30:14,A2JGWDPGYD5X0N,3,False,False,None
91745,1,0,True,93,0.25,False,low,2014-11-21 17:59:51,2014-11-21 18:01:00,AXTQMBHBWA855,2,True,False,None
91746,0,0,True,93,0.25,False,low,2014-11-20 21:16:08,2014-11-20 21:16:08,AKQ1SBONK18PG,1,False,False,None
91747,1,0,True,56,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-20 08:04:04,2014-11-20 08:04:29,ABVBWRI4D5O36,1,True,False,None
91748,0,100,True,93,0.2,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 15:00:55,2014-11-24 15:00:55,A1SCPXEIA8EYT5,5,False,False,None
91749,0,20,False,56,0.35,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-24 14:16:32,2014-11-24 14:16:32,A2TJE6FPP2BI5L,5,False,False,None
91750,19,60,True,93,0.3,"[0.07, {u'disagreeable': 0, u'training': True, u'price': 0.25, u'availability': u'low', u'improbability_rate': 93}]",high,2014-11-23 08:10:11,2014-11-24 05:11:39,A13MNUU64GPZ11,4,False,False,None
