id,run_length,sexy,price,start_time,end_time,workerid,censored,other
45,1,True,0.1,2013-04-19 05:13:58,2013-04-19 05:25:43,A3HCEVA7SJSVPJ,False,None
24,1,True,0.1,2013-04-19 10:18:28,2013-04-19 10:30:26,A6HK7LC5JQUY1,True,None
25,2,False,0.2,2013-04-19 15:13:13,2013-04-19 18:08:25,A297VSZES54949,True,None
26,1,False,0.2,2013-04-19 20:56:15,2013-04-19 21:07:51,AJW8CAGFGR972,True,None
27,1,False,0.1,2013-04-19 05:26:07,2013-04-19 05:32:13,A24PR8JCEE4CYG,True,None
28,1,False,0.1,2013-04-19 08:04:25,2013-04-19 08:08:37,A211THUS2EI4OI,True,None
29,1,False,0.1,2013-04-19 13:31:21,2013-04-19 13:37:50,A3ACVJEAM4L2LQ,True,None
30,1,False,0.2,2013-04-19 22:22:55,2013-04-19 22:30:44,A18L9I1YYGUFNZ,True,None
31,1,True,0.2,2013-04-19 07:27:53,2013-04-19 07:41:07,A3I4F61TCBA72B,True,None
32,1,False,0.2,2013-04-19 08:17:16,2013-04-19 08:30:31,A37AJI03M37NPJ,True,None
33,1,True,0.2,2013-04-19 22:31:23,2013-04-19 22:36:35,A3FR2O3XAK46DQ,True,None
34,1,False,0.2,2013-04-19 12:20:52,2013-04-19 12:27:01,AUSCGO1H49UY2,True,None
35,1,False,0.1,2013-04-19 16:58:08,2013-04-19 17:06:00,AUQYY816DL7AC,True,None
36,1,False,0.1,2013-04-19 18:13:47,2013-04-19 18:19:50,ALWGGK7LJCILU,True,None
37,1,False,0.2,2013-04-19 11:32:21,2013-04-19 11:46:27,A2I5G6WIA0DNX3,True,None
38,3,False,0.2,2013-04-19 12:41:03,2013-04-19 18:28:37,A2Y0B06BO4ALES,True,None
39,1,True,0.2,2013-04-19 19:09:18,2013-04-19 19:17:33,A2D1ZRJS0SWKYO,True,None
40,1,True,0.2,2013-04-19 10:04:17,2013-04-19 10:06:08,A3IKU2UUVMXBCQ,True,None
41,1,True,0.2,2013-04-19 21:00:50,2013-04-19 21:11:19,A20IF612YY351J,True,None
42,2,True,0.2,2013-04-19 06:52:01,2013-04-19 08:21:44,A1DS96B0Q7UFR8,True,None
43,1,False,0.1,2013-04-19 16:02:20,2013-04-19 16:05:05,AOUYM5DX3XV1T,True,None
44,4,False,0.2,2013-04-19 10:53:14,2013-04-19 13:53:51,A1DRFDGG2KCOI2,True,None
46,1,True,0.1,2013-04-19 18:14:52,2013-04-19 18:19:07,A3MMP37S9S139N,True,None
