id,run_length,sexy,price,start_time,end_time,workerid,censored,other
139,1,False,0.15,2013-04-20 02:07:01,2013-04-20 02:11:41,A2QN0EGBRGJU1M,True,None
140,0,False,0.3,2013-04-20 01:58:37,2013-04-20 01:58:37,A3DZL24017X469,True,None
141,0,True,0.15,2013-04-20 02:51:45,2013-04-20 02:51:45,A1X9CZFOD3ACQJ,True,None
142,0,True,0.3,2013-04-20 02:28:48,2013-04-20 02:28:48,AW0K78T4I2T72,True,None
143,14,True,0.3,2013-04-20 00:33:17,2013-04-20 02:27:55,A14S4LB7IKVIF3,True,None
144,0,False,0.3,2013-04-20 01:45:04,2013-04-20 01:45:04,A25WL7E75KK134,True,None
145,0,True,0.15,2013-04-20 00:54:40,2013-04-20 00:54:40,A2G061ZJVQXGE,True,None
147,0,False,0.15,2013-04-20 01:52:56,2013-04-20 01:52:56,A15NH461BKAYCX,True,None
148,0,True,0.15,2013-04-20 02:29:53,2013-04-20 02:29:53,A10GZ0SWBZIRBK,True,None
149,1,True,0.15,2013-04-20 02:29:52,2013-04-20 02:35:07,A2658LN9LNAR1D,True,None
150,0,True,0.15,2013-04-20 00:41:20,2013-04-20 00:41:20,A2ZNNL3F3HR50A,True,None
151,0,True,0.15,2013-04-20 02:29:31,2013-04-20 02:29:31,A3K56XR67YVTAS,True,None
152,0,False,0.15,2013-04-20 02:08:40,2013-04-20 02:08:40,A1BTXYLKD7EF5P,True,None
153,7,True,0.3,2013-04-20 02:22:34,2013-04-20 02:55:17,AN6CLA8F8NZF2,True,None
154,0,True,0.15,2013-04-20 02:31:40,2013-04-20 02:31:40,ABFYF3T3QLEOC,True,None
155,0,False,0.15,2013-04-20 01:26:34,2013-04-20 01:26:34,ADCMPHUT2W8QM,True,None
157,0,True,0.3,2013-04-20 01:22:54,2013-04-20 01:22:54,A2VZB11NR1QC0S,True,None
158,0,False,0.3,2013-04-20 02:34:20,2013-04-20 02:34:20,AZA8EVH0RZAR9,True,None
159,0,True,0.15,2013-04-20 02:29:38,2013-04-20 02:29:38,A1TOL4LMFCQACM,True,None
160,5,False,0.15,2013-04-20 00:48:20,2013-04-20 01:37:07,AY2NUL09KBPME,True,None
161,0,True,0.3,2013-04-20 00:55:05,2013-04-20 00:55:05,A3SXY4KEEF6WAC,True,None
162,0,False,0.3,2013-04-20 02:32:40,2013-04-20 02:32:40,A38USYKE9P7Z9O,True,None
164,0,False,0.15,2013-04-20 02:15:59,2013-04-20 02:15:59,AMDSOUCKD7PYK,True,None
165,7,True,0.3,2013-04-20 02:17:45,2013-04-20 02:25:38,A3IKU2UUVMXBCQ,True,None
166,0,True,0.15,2013-04-20 00:53:14,2013-04-20 00:53:14,A1Y25W1Y7KDE5,True,None
167,0,True,0.15,2013-04-20 02:49:32,2013-04-20 02:49:32,AVJP26EXKPSE1,True,None
168,0,True,0.15,2013-04-20 01:58:53,2013-04-20 01:58:53,A3FWFXTCHEX9UM,True,None
170,0,True,0.3,2013-04-20 02:43:11,2013-04-20 02:43:11,A54WGOYMSLN4N,True,None
171,0,True,0.3,2013-04-20 02:00:33,2013-04-20 02:00:33,A1QRRGJSVGSXRC,True,None
172,0,True,0.3,2013-04-20 01:32:44,2013-04-20 01:32:44,A3GMFXM51U4KCN,True,None
173,0,True,0.15,2013-04-20 01:18:28,2013-04-20 01:18:28,A323WW03VM8089,True,None
174,0,False,0.3,2013-04-20 01:10:07,2013-04-20 01:10:07,A24SVN911X90VB,True,None
175,1,False,0.15,2013-04-20 01:10:25,2013-04-20 01:15:27,A2D8LCIPXR0JOR,True,None
176,1,False,0.15,2013-04-20 02:56:05,2013-04-20 03:10:25,A1ED8FKNV1RTBU,True,None
177,0,False,0.3,2013-04-20 02:45:58,2013-04-20 02:45:58,A3TYWBPD4RKQ8R,True,None
178,0,False,0.3,2013-04-20 02:53:21,2013-04-20 02:53:21,A2Q09Q6HJ4ANAO,True,None
179,0,True,0.3,2013-04-20 01:38:56,2013-04-20 01:38:56,AQK138OPRS1UI,True,None
180,0,False,0.15,2013-04-20 01:38:33,2013-04-20 01:38:33,A8VHQZKB5P0YJ,True,None
181,0,False,0.3,2013-04-20 01:17:33,2013-04-20 01:17:33,A1TTBG94SNYQA0,True,None
182,3,True,0.3,2013-04-20 00:41:05,2013-04-20 00:58:31,AVCUVD3L39VRS,True,None
183,0,False,0.15,2013-04-20 00:42:18,2013-04-20 00:42:18,A1UZ5ZUXF9AISO,True,None
184,0,False,0.3,2013-04-20 02:07:30,2013-04-20 02:07:30,A3RYH6OUH7BJ4Z,True,None
185,0,False,0.3,2013-04-20 00:50:34,2013-04-20 00:50:34,A1MNAEC0OV629N,True,None
146,0,True,0.15,2013-04-20 00:37:35,2013-04-20 00:37:35,A2KZ1NOHO4QFOQ,False,None
156,0,True,0.15,2013-04-20 00:34:34,2013-04-20 00:34:34,A1PRIRNHP40D03,False,None
163,0,True,0.15,2013-04-20 00:30:51,2013-04-20 00:30:51,A1SU8C0D1IJYTN,False,None
169,0,False,0.15,2013-04-20 00:31:17,2013-04-20 00:31:17,A2XFGTPDO4KQ2B,False,None
208,0,True,0.3,2013-04-20 00:34:37,2013-04-20 00:34:37,A1TSPXCPRHR73P,False,None
224,0,False,0.3,2013-04-20 00:35:34,2013-04-20 00:35:34,A34YWEDVDZK3SN,False,None
272,0,True,0.3,2013-04-20 00:31:31,2013-04-20 00:31:31,A1I2DD7WM94VC2,False,None
288,0,False,0.15,2013-04-20 00:33:38,2013-04-20 00:33:38,A3O1L0034OG341,False,None
300,0,True,0.15,2013-04-20 00:32:02,2013-04-20 00:32:02,A3QLMSLL4AYTDT,False,None
313,0,True,0.3,2013-04-20 00:37:36,2013-04-20 00:37:36,A1F2MFSHXTGAVD,False,None
329,0,False,0.3,2013-04-20 00:31:32,2013-04-20 00:31:32,A1IQ8YHTZLFEVG,False,None
382,0,True,0.3,2013-04-20 00:33:38,2013-04-20 00:33:38,AXLHKLLODD9C,False,None
386,0,True,0.3,2013-04-20 00:31:03,2013-04-20 00:31:03,A2GANZ92RS0E3D,False,None
387,0,True,0.3,2013-04-20 00:33:27,2013-04-20 00:33:27,A1NVI8KJ8OZ20,False,None
406,0,True,0.3,2013-04-20 00:35:00,2013-04-20 00:35:00,AJVKNTH2VK1WF,False,None
408,0,True,0.15,2013-04-20 00:31:15,2013-04-20 00:31:15,A35PVQWKEVEBF6,False,None
186,0,False,0.15,2013-04-20 02:26:48,2013-04-20 02:26:48,A1N6A76C0FA2VC,True,None
187,0,True,0.15,2013-04-20 01:06:35,2013-04-20 01:06:35,A2CQNGJAAPKQPI,True,None
188,0,False,0.3,2013-04-20 01:41:45,2013-04-20 01:41:45,A1O4AAQX2KCD3N,True,None
189,1,True,0.15,2013-04-20 02:01:11,2013-04-20 02:05:52,A248D5XVN1YGCZ,True,None
